Address,Proportion (scaled),Proportion
0x7618329B8d67DD743eF8A2F966D60B4D6f39b18E,101620520616803,0.01%
0x3288338837dc90afBB81A93E5a9C3c5688436E10,100260377529500,0.01%
0x49a5492FDFe5AcC966dD5f41310dfDfe8dAA349C,100231366816087,0.01%
0x2755F9fe42EC40d4469beBf5A8a468CBdB3CAFd9,98452069013595,0.01%
0xdEe311AbaD009550A9a963B9f86BFf46D39f7a69,97528313295146,0.01%
0xC255E0a1Be0A4B7B8Bf5EBE8d0Aba162CF75bae2,96624298617247,0.01%
0xd6137678698f5304bEf86262332Be671618d5d08,93884915525589,0.01%
0x5bfF1A68663ff91b0650327D83D4230Cd00023Ad,91485605801352,0.01%
0x34ab6cc693ED5F706eceCE5F8074eDff3eD58BCf,91437885906848,0.01%
0x66143d695baFf44a3C8549bBdb16098d55674F9D,90217913329743,0.01%
0x37e06Ba4b0403D33BbaBaFD63662B1F0fbfdf2cd,89547834343899,0.01%
0xAc4c11e7e1673807cb7A808b497eE8d5f0d1cAB2,89503139273455,0.01%
0xcda1bC3Bc70c92135891c0F334B270B689c1a0DF,88807436321266,0.01%
0x9777dAaBf322d38af7A49A66dC55F3086127baeA,88429721936558,0.01%
0xc219CafDE6855f60dA76d9cacC3873fda65516E6,88201029726334,0.01%
0x61fdff48D154c6079E43CBf14027057b367cb3b2,86870965436174,0.01%
0x2aFf603eaC292E9ABDFc2ee74e41241BB02E80AA,86269700480056,0.01%
0xC1C79C6378e5A72895C8eA15fc6Dd59fFddc8dee,85930096853112,0.01%
0x161a22AbaB390B5BEeBa42E4121F8343F6Ed5C44,84535449306279,0.01%
0xaebE0B1383BC8550eFA793c3f4B65C97Ce80541B,83490400722033,0.01%
0xf8dAC4e5F616E43Ce8c68b3E3Bf6C9bB3461b81E,83002789103262,0.01%
0x7e65eAAE216650c1198321564CF953B39f7e5720,81153155653530,0.01%
0x620e4e2F2573C8d10Db9b16C7e8Ca12742C010F7,80603324348263,0.01%
0xaDd528E4b48ac854DfaD1E79Ad6af2E7524AF26D,80459204895449,0.01%
0x6746084d7B7B3ae37767DE3b2e960c361aeC3e18,78073367409514,0.01%
0x80aF73FEeF1b9D0f2EF230a548d752E7dC984646,77876357980010,0.01%
0x68575571E75D2CfA4222e0F8E7053F056EB91d6C,75536024194414,0.01%
0xa350122a590FC6c8BEE981a06039436Fff79C02A,75189304042470,0.01%
0x0c7098d73f626770C99a9bBc7Ad302D429ecEcea,75006655418637,0.01%
0xBc5D814E37b94cdeB583362F97bD8C423a66C5A9,74825332575102,0.01%
0x6716b6737620922ACC8F8B8A4c2A6D706F3224FF,74545615547321,0.01%
0xcCCCDDB207fF7bBB6c5B4c770188eE7aaA6CDBEf,74151993577609,0.01%
0xF4B0556B9B6F53E00A1FDD2b0478Ce841991D8fA,73159853582195,0.01%
0x0d90A14888AC045f1479D6DbE5dB0db45182cBb3,72703177142520,0.01%
0x2B83aC024B0a4Ba3f93776Cacb61D98310614aFE,72495227390837,0.01%
0x2538De1B9c5Bc4ACCb26B2aB66E775Fe311D8a73,72301157385514,0.01%
0x9ee282880048F4b72bbe67F7C241a66351Be79B3,71389314777806,0.01%
0xF659FAAc0401CC19110321dcc7989c101CceD8E4,71294672176478,0.01%
0x78323Bca3661a84785dEB29d5281D86b4eac9877,70277488879428,0.01%
0x36fDb65D2d484b036AdE6A2a418B05Da0c848f1B,69347557054190,0.01%
0xfdA462548Ce04282f4B6D6619823a7C64Fdc0185,68361642627609,0.01%
0x03e96c0989F5c6096bd6387e8af2334E2abd2A90,67465876907795,0.01%
0xc202408c10C68850a0682D67DB7450Ad4dB836b3,67321079827045,0.01%
0x0459dDa9eB7062E6FDCA6293A4C363722fCA6102,67298527390463,0.01%
0xA083d45dC7B97eaF4532F19B112662bD3Adf03A4,66040283783184,0.01%
0xbE4aC6a47CFF0D0f677B036ebCc1f1d1f07a2861,65434009045570,0.01%
0xd209586D540CEf3863B83A14751CD36aaA3CcA12,65434009045570,0.01%
0x4677C06757a2059c7b750fd5b59c2E65Bf1851B3,65429619013869,0.01%
