Address,Balance Wei,Balance,Percentage
0x5fb3654d987b6d7182e308f9c495f05e0c7d74e1,3.20E+22,32000,0.1451836682
0x4eac7644b1872c0d3bda1667c6657a06f5e46489,31865029315068493150677,31865.02932,0.1445713076
0xb465fb8198099548e47454f261331e347d7d514e,30883471786762218839840,30883.47179,0.1401179913
0x0caf228bec44ff8120d4f340d165a4fb70d76910,30710248471292068324016,30710.24847,0.1393320789
0x3a1078ebe5c8a31d9e0261f08864386c859c1456,3.06E+22,30607,0.1388636416
0x20c696b204adc48714eaedbe95a905c54a75efaa,30377814037713512599355,30377.81404,0.1378238273
0x3b7fc9562a804847dfbb5b24c7456c81c66925d3,30000988188761030779635,30000.98819,0.1361141723
0x5776b676362d348115373e5c397a8d6104bcf3d0,29819227155282851344472,29819.22716,0.1352895244
0xa9961aff3290073c5ccfcd9c383d4707efb4ac53,29613883287570918967205,29613.88329,0.1343578814
0x08b8c2cd1a48a0c906f3a15e3fc94c52cf7e4d10,29604099228400980889552,29604.09923,0.1343134912
0xa6a8f1c01b0ac1b3f23ac8f1c5fec49284f6c98c,29160541841070522577307,29160.54184,0.132301076
0x8f444b150741d06d56931e4db73b0c9afa062ca3,2.91E+22,29110,0.1320717681
0x2da8ec3d75381d99de7ac7a19ce3706eed29039e,28770776255707762557077,28770.77626,0.1305327135
0xcfb1601e7c5ed344e19b22f5eb006c8fd0079bb8,28742453635749246046831,28742.45364,0.1304042141
0xc01ba729a6b637853a9c435d544c96b02091bc56,28481153031561812954502,28481.15303,0.129218696
0xea4fa62da3ce5b8991c48c730085d248a35435e5,28223327653686791814638,28223.32765,0.1280489449
0x637cdb64bec81a7f63b1924e69c95f1c53d076a3,27986680058134618636877,27986.68006,0.1269752772
0x0b3124cc1776481af69e9b00fc15a355fbc0179f,2.80E+22,27956,0.1268360821
0xcb2bd1803b2eeb6663bdf6e3de4eb43a165d6f7e,27858886140706916962623,27858.88614,0.1263954775
0x2235236b63b93b5a57617715a1949a5d5156a187,26945747094668332075502,26945.74709,0.1222525752
0xafb17d7e12f592ba3e6eaa8b8b717a36cc255467,26895072854737442922365,26895.07285,0.1220226667
