Mainnet_addresses,SMR per Address,100% value,% LZ airdrop per address
0x549996F246B7906A41188cd0FCDB187d3FB313B4,14501,30033851,0.048282881%
0xF11E1ba559a539E1444786fff5C90C723D9860da,22118,30033851,0.073642918%
0x4dAFC77A61baa991d80e9EF094f6e6E19FA84959,17965,30033851,0.059816312%
0xd8b31337E505760A8486a3BbCeba291316a3cC92,19968,30033851,0.066486490%
0xF9e967807e6B13E9958aE0694De8DF6E620E75AB,18623,30033851,0.062005556%
0x634B8C06537A6379327722332F81554Bd555b546,19531,30033851,0.065031448%
0xA120Ba3da6D2bFa2EDeE8c45611AaCA32C826b76,20093,30033851,0.066901473%
0xb7fec6a0f8884061B839eEF30148d0f2827cD6dd,17180,30033851,0.057201691%
0xb0FabE3bCAC50F065DBF68C0B271118DDC005402,17306,30033851,0.057622614%
0xc136aeb87Cc7dD08d72874487c3b4e579f3bCF29,17131,30033851,0.057039855%
0xBa0F558151c27DD587b69E6425A1bE27876F4944,18568,30033851,0.061824418%
0xabA53d2fd35527E468456b73364424667C92Fd7b,17631,30033851,0.058704987%
0xefdB09ED95CBD86a977f4D24f4bF3A2d7b45E1AC,17470,30033851,0.058168997%
0x3caa13B24633819257b46c0632C614ceD404fbC5,17053,30033851,0.056780026%
0x1F93Ac7DfE362B7C160A057c32CAacD4bE42590A,15572,30033851,0.051846990%
0x34E0e829dd18B5a3C801608e4b974b0857dc3564,17743,30033851,0.059077656%
0xD562A17Ce3079f2F8F77374D14ef5D01dCA1f2FB,16924,30033851,0.056350195%
0xDF35c78FC2FEd274e96b2f2b53327B10699D22D6,17859,30033851,0.059463687%
0xF3bc2CbabBc84136db90891663cAAFee390585DB,17757,30033851,0.059122198%
0x95Ec3d752694B0a3ae5e59a4BF101188472526aC,17329,30033851,0.057696851%
0x9cB6488F2E09F9C97288323dD143870e7f7FD95a,16589,30033851,0.055232931%
0x5a491af69b301F40935BfB640e298823A495F6cE,16843,30033851,0.056079973%
0x073C95B74e8B9A19540cD5192927C2814C6d20b4,17654,30033851,0.058780708%
0xD0fdcf23f50a4CBb98AB5DAed7831344fafC7E93,17618,30033851,0.058661930%
0x41D9d908c26f364434208272b98586496105315a,17610,30033851,0.058632235%
0xec9D8983eb3590D314100909117bb9f94fa38bFB,16708,30033851,0.055630098%
0x9c09e5d2919c67fC3b7b8A5d5eEb9eC5dbbE5989,17418,30033851,0.057993798%
0xB6D4934FE622d1637AeCeaCd8dF8FF5A06219467,16483,30033851,0.054881791%
0x2390731d0eDA70a349DA1fd70941475b87329eF2,16802,30033851,0.055944862%
0xb08fCf7667d6ECf54e618911768a5b37F62A7084,23442,30033851,0.078051843%
0xD525BCee9A3dAB00f360895fBb614884FE85543D,16293,30033851,0.054247809%
0xE774d563d7fcdE91cB7731750508BB864178C4fC,16077,30033851,0.053529196%
0x20940277a6f3FaEf26272c4559D228Ef4B5Aa6B4,17520,30033851,0.058335288%
0x0C759509dE69C23F4fd35BdE9148A34743586fF8,16599,30033851,0.055267080%
0xf3bF633759E993D7849B6C25B442432A81139367,15944,30033851,0.053088230%
0x006000c8C92C3861302213350F3F55663e3960df,16419,30033851,0.054667989%
0xBF79f256eC964fc6Be238417f8dB3D4158566517,15616,30033851,0.051994721%
0xeD8A95F3FB4852D3688eC83DA42dd8FD9390D09B,15831,30033851,0.052710364%
0x725563e300E1A0aF7308FA82DEe0745f3DE47423,16267,30033851,0.054163179%
0x2EE1BCAB40D29650f562F8E7760BFFc3b9603f1d,16245,30033851,0.054088942%
0xD65a0b659507541928e65C2258d5e1De3f7B80EE,15723,30033851,0.052351800%
0xd0Be6274E8a6BE25A3e1982cf957595fCB67a4EF,17966,30033851,0.059820024%
0xC8462EEEED1fe256c62f89678Ebd6dcc1B04690E,15229,30033851,0.050707455%
0x461c6Aa165093aCB20eAEDf570992E730b5c716f,15051,30033851,0.050113561%
0x1633090139689AcF26BC44C7dc9c5F2D4e320526,14979,30033851,0.049875260%
0x89e9Ddf0B1D3E5759BE3225F733f59BAdBFd0CA9,14894,30033851,0.049591676%
0x60517FAE31E8C087BaB0e3d68F6E4A7eC0ec90B2,15549,30033851,0.051772753%
0x4B3C126ee835373D62178F07e1350f102E3e24E3,12826,30033851,0.042703984%
0x853054857d755c6d1605e003C8495Be0407476AB,15545,30033851,0.051757906%
0x259bCce39E0fF3eeAbD538d34024De99349D6BFb,15500,30033851,0.051609432%
0x45f4E16B0284698A63E12317bC3c5B05678C20b5,15487,30033851,0.051564890%
0x8FF9F8efFd6D8590566DF67455bb3b927c5Aa5b3,15469,30033851,0.051505501%
0x9E1e1fc3bB6a678b7e59278b76E05bbC7E705eF5,14475,30033851,0.048196766%
0xA4886f67962407050e6f3AB8DF898cC5077806ff,15268,30033851,0.050837369%
0x874cdA9893656Af8b114883Ec0891c0d07A7EA96,15179,30033851,0.050540422%
0xC73a0Ba657374dE66FeB4268F3D2ea5F4FbD5350,13619,30033851,0.045343845%
0x4511955325eD7D10dD0008CA7887c6C15Ffd153F,14769,30033851,0.049174465%
0x016d13E3e6E5704cfd472266f790C6d534c28DD8,14715,30033851,0.048996296%
0x684c5CD85bc40B6Cb5e98BdD2161220273c9B4B4,14461,30033851,0.048149997%
0x28E3Bf74135b6e039A7f8664d407f4EcA8bC9832,14109,30033851,0.046977055%
0x18543E671dA7feeFEcF66EF429b9F0AaaBA96604,14158,30033851,0.047140376%
0x50964190465da3c94AFD436aD323a0aa2f7C9F86,14149,30033851,0.047110681%
0x5FF495AeA9b0182B74bb13a1fE8Bae3322BDe82F,14249,30033851,0.047441778%
0x1259BaFE5634c5173C2FdCeb4d76F22Cc89AfFd8,15228,30033851,0.050703743%
0xeb2eD7645147C2113CE854844119076111370Dd9,19808,30033851,0.065951985%
0x28e07De8B7e1F6e543e5F2aeafbA059ea0d87342,13989,30033851,0.046576176%
0x493574808e500c1D06122d7B20eCA2Da8990ba2b,13971,30033851,0.046516787%
0x29760Cf9e57D196842635b10675D6B75493f3Ff7,13056,30033851,0.043469366%
0x2f39B8216C24e50BABaFe644408AA49dF3656c68,13641,30033851,0.045418082%
0x243a39267A8A15d145539257d2d5e2bA0Ad078E9,10912,30033851,0.036331496%
0xd3d9eb86137e522284527f80AbB3046B98849f3F,13873,30033851,0.046190145%
0x749C3E5d8b02d07c2E5a31D59536C0740D617201,16253,30033851,0.054117152%
0x6AC0AB19148324F21f18D3c28dd21F1A4BB4De8f,13471,30033851,0.044853882%
0x7eef6f6aFfb8d30dBfC332e9f3065B27aE80D5e1,14121,30033851,0.047016401%
0x5C99bF6be1171b00F03B77a1F78a1E62b44143FA,15852,30033851,0.052780147%
0x3aBbdAa9Cce81D3eb5ed6E9995ec98097725A576,14686,30033851,0.048896819%
0x0d31E3D74528F3bd884cc6c4E16c4DC9b4e2D540,13409,30033851,0.044646019%
0xfAE9e3a5Ebd046d04E275aB6749DD2F23baD5eeB,13610,30033851,0.045314151%
0xFe2C880F9789f4A308F9a9e4fB993eF1A30b9666,11579,30033851,0.038551919%
0xc70BCC5aFcb1AfE3a2133698C50Ff7F92d392206,13226,30033851,0.044037277%
0x4Eb33777964198222f142AD70b55D860C4a566a3,13226,30033851,0.044037277%
0x01699563A9D7de35E0A128FafBcFf07395C556F3,12450,30033851,0.041453836%
0x2404E5E2E3bbFF9Ce36C2a7Cc060274eF681fa10,13083,30033851,0.043562162%
0x32Ba0733275Fb698f1F20D4fAD451fE118e3e595,12412,30033851,0.041327634%
0x0adFA339F7E4845618A98ACDa31FfbbAEcC35A20,12370,30033851,0.041186584%
0xc6B11b54D107E41D2E6d9f06fED0818D011c1477,12366,30033851,0.041172479%
0xAe8f7cae02aAcCCf49368300e844647e371bdbea,12811,30033851,0.042656473%
0x28B26432AbbA2c1506Ce0dD0992a2E646E7F0D98,11772,30033851,0.039196295%
0x7e39d9fF4aB6BC6De57aF7626919844A146baEe1,12281,30033851,0.040889637%
0x93ceCc5c0b958D36e4199C99EB29bC2C6fAd5E04,13318,30033851,0.044341648%
0xa66CB18766461203b0912F65f7E9b97604bfA779,11529,30033851,0.038387114%
0xf9d1CA5E46Ad985b00AC452836006c621296480F,12073,30033851,0.040199234%
0x5784AFf5e10bB4A30A05F1A753d053bd21468768,12615,30033851,0.042003189%
0xc0d347093b6f9aFa415765Eb2de0B37d43D1b341,11799,30033851,0.039286121%
0xb9c78a386d9BeA7164D27072898436CE418f83E2,11942,30033851,0.039761979%
0xeeb3F45eCeaeeA0AdaeC1375984F45EFdC1E0F39,11709,30033851,0.038984720%
0xfD82012bECD530A5412D3FC97154Ec45F63EF4a4,11862,30033851,0.039493984%
0x1FEc341580230871110253D2FBb64E1707066F7b,9440,30033851,0.031432609%
0x052a45b6e93d5b53eb30Ad8FB8c3aeC1d233a5E7,12468,30033851,0.041513226%
0x85FbD7F2586b8EdC942ADC4835c49a9F2A067bf3,11797,30033851,0.039280182%
0xD64E97ec04db0d696c3B15E8a2E87754e300e517,11586,30033851,0.038577160%
0xAc644d3c3eA453DF884F28a889b9978710D2a85b,11734,30033851,0.039070835%
0xf1196bF726ed9227507f5a8b7C87Ae177124dB2B,11638,30033851,0.038750132%
0xc5DC667bA80C48bEE4ffb0E8FfAcdc8d3E904B07,12006,30033851,0.039974297%
0x95AC918AfFC17c0FfB4AffcA88b8048Ecc6CDf2A,11627,30033851,0.038713756%
0xdFAeCad4cfC6Bc619EC9F92dDf295b60e148e2D1,9624,30033851,0.032043578%
0xf8CC9DC96D006b17dF078d2e0Af976cf46Ac2500,15937,30033851,0.053064474%
0xfa396090B4dfD2bd86bbf6de63635d6E390b5dE1,79891,30033851,0.266001636%
0x3ab9dE93B1fCca7A0f66Aa13F0D9A88A9C2b8741,11437,30033851,0.038082000%
0x10Af0BA6e4eF09A26071c7e976da4d280b711A67,12031,30033851,0.040058184%
0x444ff78552e64612fDE086E01C113579AeA504cE,11254,30033851,0.037470289%
0xDacB696BC5641aBE97D4bD2230162Ba75F534ac0,11366,30033851,0.037843700%
0x51ad6C10F9DBA1E7dAE5d467eBC0276e39c9C1d3,11366,30033851,0.037843700%
0xe421C3cBDA4f48E6DA36b54083D42F5B722aA2CE,11911,30033851,0.039657305%
0x6f70DAB084538670B2d07b14f4216522f90E0c20,11284,30033851,0.037571251%
0x7cc6428ACa5Baf3dCB5f9a231d972a8Ccb7BfffF,9009,30033851,0.029996869%
0x7a78eC9d93be41E2De2b298978291ae0AB6832BC,11813,30033851,0.039330663%
0x5CdB8c11d742ecd9684519F4a42Ae9b3CcdB4C16,10571,30033851,0.035196415%
0x00661Af81747aEE881d6326441CeD335b9E944D2,11594,30033851,0.038603143%
0xBDD18A22046107B631d1a065bE0F034bc13c52f4,10984,30033851,0.036572766%
0x7a555612412B0D672c5F1ea282d65126f2485c7c,10858,30033851,0.036151101%
