Address,Percentage
0xecd5c5cb67c6f98fb6bfb903618ba323e677b311,0.1257925%
0x9104d5cce280056d33055f5e18a793f6aed71038,0.1247649%
0xbaf57e554b2d23b5ce1cf517844cc6ab9188a8bd,0.1246842%
0x849d7e8ba266a687bfc2b62611ccbfaeb04da1d7,0.1224740%
0x221268f32daa6b36cac59343220f26da444e26f7,0.1209593%
0x7fab538a63131be7165ffd68aa4e4e326f034a40,0.1209582%
0x2af94aa6632c3c7d7e2efb4ab9dcd4cbbc147161,0.1201452%
0x7e227011ce79d04cad829481b64bae52ce8cb272,0.1198094%
0xe4e34d4fb658fe229c39ade0517b2128d196c036,0.1192324%
0xb8155794de5c29b04dfd00e4046603da47123f92,0.1179483%
0x28e6f333feaa3e27fda30d15b6a0fb4fc45dc019,0.1176902%
0xf84c8bc965086dd0a9a8ad95155b77c19931118e,0.1168850%
0xfb1bcbf81efaec84730492987c84d8166be87b1d,0.1160010%
0xa6c8763b8c06e3efb05f9f960c885afdb8d0db4b,0.1159040%
0xceafc343492d3d3ceee81be19986bb4458255220,0.1127505%
0x155a1cbd30068d1b1fc91dfdae0761a03a7216ed,0.1115574%
0x90ddcab66e0bd580417bbef137f42de81ad24278,0.1111518%
0x1e9ec5c0f8c7150c92dfaed64be9b58ec481b23f,0.1098067%
0x5cbf8c43b11a3b120d2cc2955f9b638303e0d22f,0.1080197%
0x98e34b20bb0875b7fea2a1faec93a742f3f009c9,0.1061208%
0x5855c3715a7402ccdc8a1e823241412587c8f85a,0.1051768%
0x0eeff0492b2f971e079ac73d3dfb4b09cc5f5da0,0.1045795%
0xc4319ffe0b7904b9c7cec2ce0cbd1bd45f9ffdc7,0.1029894%
0x94A4bCD74fd358248D8094145A8BdC11A0a5e555,0.1015020%
0xaa61a58830996a2b54902bac0913641ccd362828,0.0998531%
0x3013b486bb8abbeb9da639f413424820ca503395,0.0998531%
0xd69616b3bc514d6bdf31043d9cb3c94b78d0af0a,0.0998531%
0xa16dd5dc89d9e36524e3b75de78515ed7ca4f1fd,0.0982630%
0x2d4e2df4f74f205bd9b25b7ecdbd6e68eda9bff3,0.0982121%
0x4c1e80f18d01d7acc62488f31a88963d6d34cdce,0.0980851%
0x6b51a645ab8058fd39dc574f249348f8ad9a6266,0.0980751%
0x34756d8400f2426851dc46d6ab38f0df004ce1e7,0.0953327%
0x01da8c4d762d06a1445db75b5a93247b4f9373f8,0.0948060%
0xe9642ff131116a198499ba4e0e66ba5e3dad0c03,0.0940643%
0x5e371910cc644db418577ef3f280840366f90c26,0.0903988%
0xd04d98fbc3c5ecf6826c41f42aa957cccbb2341c,0.0901266%
0x7913d4b851ff4c468bc803c0c71840f9dc39fb09,0.0898057%
0x905b860c22a1ffe44fa500d90a8a0aa2156a2b65,0.0880189%
0x9dde067d31adb5721b5c6a562f4888de197cfd00,0.0856921%
0x05e952895d263f52e68dd311032973d845a02048,0.0853874%
0x943c23be6316736b6d029210ecea2e2b0df2ef3e,0.0834385%
0x67cdf93994815131a04f0e9d35738710d0c3a152,0.0832624%
0xc28f9230aa524f4536fc3aa2210144204ab370b5,0.0828609%
0x22a91690022341301256127475d5e5d37e3e3e27,0.0792255%
0xed590b8c0964177bee6d871fcf88ace53eab34fe,0.0787455%
0xc3388e5eeaf2c682a5740f1a35e28aa72a9bc498,0.0786698%
0xe000cfec773b46a68b11c9a732d553f754940a25,0.0780893%
0x81ca827fa4726f611af455aa6ef71b3bd16d011f,0.0773791%
0xda04f88ce2ae15a65cf5107b739533ba2c91fcf9,0.0769458%
0x8f60d79fe3df6cd0e3a44288ad2f41af134d813e,0.0768920%
0xc55e132556d4dd363758fe78ce0d79780c807fb6,0.0756197%
0x782af07f170cec08617c24745248db628319264d,0.0731184%
0xadf0385585682c6825745dc54bd6817949de5fc5,0.0725890%
0x8c1b20c8ba191fbcd7e4a554a163ddb3832ebd7f,0.0725869%
0xd933fd64874adfffcb477ec0ccba981d1b4c9e38,0.0723771%
0xeaefbfa4f32c732787eaddc536351e40292e9a77,0.0718922%
0x6bcdd7113c0c9d4a8bd0f82835f5640180ce57dc,0.0705655%
0xefcf581679642d3257afce76db7f8beec81bb66a,0.0696335%
0x5072565fc7340afb45ad3f11d79fed4fe4adb8a2,0.0685837%
0x3738a4ff61df233d43b71d1f1499c7d88e5dd788,0.0670050%
0x8299caf4e22dc21b0b90d954b9b037d17e2b8dcd,0.0667007%
0x94bf88c1235ebf76309f693907e4cd0db9505627,0.0666886%
