address,volume,deposits (OP + WBNB),withdraws (OP + WBNB),Net Flow,,weighting,airdrop allocation,Total LZ Allocated,0
0x3a80880ee2f1322dd8c4a6ba13c77e009b4fbafe,1802.279,1800.091,1853.177,-53.086,,0.0003870303186,0,,
0x284c8a00ab750896fa06b72fe79184b0b3bdbad2,1661.376,1679.884,1756.171,-76.287,,0.0003567721105,0,,
0x63750e29d8ed02716ef588e7aeb242ebaa2f82ab,1650.183,1700.334,0,1700.334,,0.0003543684703,0,,
0xee3cfadee77e81b65624a4ca448bd602c868420f,1391.444,2232.212,853.0243,1379.1877,,0.000298805576,0,,
0x2979f7e187a759bd8c8889a4e12bcb3f882c0a84,1375.056,1369.977,1321.282,48.695,,0.0002952863357,0,,
0xc0d4ce87dbcc4b729a68eb8ccce2855fcfd47d7f,1086.551,1068.661,512.996,555.665,,0.0002333313431,0,,
0x7cfd8d39b2b5555bbad00dbcc8376449a81b6838,1004.751,1007.865,0,1007.865,,0.000215765206,0,,
0x3fd1f6df92cd133614a066e71656ba6cdf530dfc,976.2211,967.0591,466.6665,500.3926,,0.0002096385539,0,,
0xe842359773d9f42f3dc81840e55da183296f7671,967.8714,991.7737,1071.227,-79.4533,,0.000207845498,0,,
0xc16e1bf5cb9eaf5344d6210aed1bbfd81b39fc09,952.4473,955.6165,1031.27,-75.6535,,0.0002045332504,0,,
0xc58712b51bc6bdb8f0c00f3ced1411d8c9b1d973,948.1753,946.7384,978.0463,-31.3079,,0.0002036158599,0,,
0x7ddfe328ac40f0371ad41064998612b35a387001,927.28,862.3088,0,862.3088,,0.0001991286997,0,,
0x285e6e07ce1bcd84cc9b6f2ef661de222899eb23,902.1021,884.4197,338.5683,545.8514,,0.0001937218728,0,,
0xc7e6da4d1373baba0033a9799470b3b4900f338c,856.6314,842.788,469.3151,373.4729,,0.0001839572695,0,,
0x526809201ae63ee803669edeef22910a08c67874,760.4069,822.2903,370.7239,451.5664,,0.0001632935438,0,,
0xa6d6783e521513c829ee60eed3df33236f4a573f,734.3781,733.5553,526.4839,207.0714,,0.0001577039903,0,,
0x6c386e7ffef2d6fe38a0880896e39c4e744e7ee9,644.0943,589.0865,0,589.0865,,0.000138316,0,,
0xef2b926b43f971cc0ef243876a7aaa4b2aae1f40,633.3727,612.253,0,612.253,,0.0001360135905,0,,
0x0cfaec112c30a5a392eb633daae5231aa3d7623f,604.6905,603.0895,1705.032,-1101.9425,,0.0001298542328,0,,
0x3b1745629db898579390651ab9f53bef6a0ee421,602.5404,601.4828,1027.584,-426.1012,,0.0001293925097,0,,
0x4c1ed62ab4e161ea6e61cd302bb6a106cdd70b22,524.9209,501.0889,0,501.0889,,0.0001127241138,0,,
0x1eefe3ca6325b58baf330e48f16a521dcf84fdbd,500.1036,498.6318,534.1179,-35.4861,,0.0001073947239,0,,
0x1e1d3eb226e6af560ed3a16436343b5839dd268b,430.3159,1224.993,2986.27,-1761.277,,0.00009240816759,0,,
0x63e840aba32582baf26735e87cb9680fbfd00151,302.3095,302.9161,230.0114,72.9047,,0.00006491943928,0,,
0x1308ac29bcc5ef2b777482712515dbdd8bef0450,298.3745,298.9029,0,298.9029,,0.00006407441789,0,,
0xcb331e0898139acbb82fe6d31d5ddf57668ce2b6,292.2615,293.4164,0,293.4164,,0.00006276168199,0,,
0x69883e04ee66d1bf564c0d417c9e28d0ef2b9158,287.0154,284.024,0,284.024,,0.00006163510849,0,,
0x127e36c12b7a68a685fec27f752d82b4171e57ae,279.2931,280.7942,185.1898,95.6044,,0.00005997678355,0,,
0xe26f54284c451ec4c0f65eb973f737f7962a5a3b,215.9855,212.8826,572.6184,-359.7358,,0.00004638179598,0,,
0x5284b794ad97dc93ca0f6593c5bb0d7116c45d3b,205.958,205.5582,107.4589,98.0993,,0.00004422844097,0,,
0x6798611f316bbc5c7b629cdeac7ac89d62b8cd3b,158.9,157.3807,0,157.3807,,0.00003412297298,0,,
0xab19ce559252c6fd978c7017a6df73593e48cab2,153.3233,154.5237,0,154.5237,,0.00003292540481,0,,
0x6a75754e52b9107a68b0c5540d243a8fc289f4dd,126.7392,122.429,64.08188,58.34712,,0.00002721660351,0,,
0x76f0d737398e07567cf2067eda419ad010d204df,96.81863,101.9618,49.98938,51.97242,,0.00002079131212,0,,
0x59b7b1926af8336c443ce777a7b838d962d16cb4,92.27654,90.62852,96.65794,-6.02942,,0.00001981592122,0,,
0xb38302e27bae8932536a84ab362c3d1013420cb4,88.12537,87.91477,0,87.91477,,0.00001892447841,0,,
0xbe3819f599edd3569f6d15c99d7c4c74f8536304,86.94827,85.72067,0,85.72067,,0.00001867170213,0,,
0xd943570f7d7cf91621fc667f4149ff832a8ae93a,85.55329,85.05649,173.1595,-88.10301,,0.00001837213721,0,,
0xff3e84ddd3e8809591c7ce584358a5a3f4adccd3,79.63247,79.53223,56.33274,23.19949,,0.000017100671,0,,
0xff8b72632fc02fc902652cb5ce77258a5eb27864,66.81663,66.54065,109.4211,-42.88045,,0.00001434853405,0,,
0x196a492f60696930d6ee0551d3f4ed56b668aa00,58.6801,68.18586,72.17123,-3.98537,,0.0000126012553,0,,
0xc8665db820c6da2875a77a0dc6cf07691f1e47e8,35.5,34.36751,0,34.36751,,0.000007623445821,0,,
0x819ab507138b2d0111459535bec435916253bb08,26.22214,25.7992,0,25.7992,,0.000005631072214,0,,
0x5d22157549dd5de8226ed3f7bf192ce5aa959a99,18.02999,18.04809,0,18.04809,,0.00000387184935,0,,
0x362379c21e2b23075e6b0e36a7ed3de280c0b923,14.68756,14.5263,10.43143,4.09487,,0.000003154079377,0,,
0xa64d0e898ca91e8bb05ff75321076b5588e88db4,3.073685,0,53539.3,-53539.3,,0.0000006600583399,0,,
0x36992433887bafbfc8ad45c7484150cf87297575,0.300979,0.301587,0,0.301587,,0.00000006463372112,0,,
